gene_name,alteration_frequency
NIBAN1,79.47400241837968
MAP1LC3C,79.47400241837968
CFL1P4,79.47400241837968
RNA5SP72,79.47400241837968
LINC01633,79.47400241837968
AL590422.1,79.47400241837968
BECN2,79.47400241837968
AL592076.1,79.47400241837968
NCF2,79.47400241837968
SMG7,79.47400241837968
SMG7-AS1,79.47400241837968
TUBB8P6,79.47400241837968
BX571673.1,79.47400241837968
OVAAL,79.47400241837968
AIDA,79.47400241837968
LINC01736,79.47400241837968
KF455155.1,79.47400241837968
LINC01735,79.47400241837968
AL590632.1,79.47400241837968
AL596211.1,79.47400241837968
NUCKS1P1,79.47400241837968
LHX4,79.47400241837968
RAB3GAP2,79.47400241837968
SNX2P1,79.47400241837968
LINC02779,79.47400241837968
AL451054.2,79.44377267230955
TAF1A,79.44377267230955
RNASEL,79.44377267230955
HHIPL2,79.44377267230955
RGS16,79.44377267230955
LINC01688,79.44377267230955
AL353778.1,79.44377267230955
SHCBP1L,79.44377267230955
AL136372.2,79.44377267230955
CDKN2AIPNLP1,79.44377267230955
RN7SKP165,79.44377267230955
TAF1A-AS1,79.44377267230955
MIA3,79.44377267230955
AL592148.1,79.44377267230955
AL592447.1,79.44377267230955
KCNK2,79.44377267230955
AL592148.3,79.44377267230955
BPNT1,79.44377267230955
IARS2,79.44377267230955
MIR215,79.44377267230955
RPS15AP12,79.44377267230955
MORF4L1P1,79.44377267230955
AL590682.1,79.44377267230955
PARP1,79.44377267230955
AL359704.1,79.44377267230955
RPS3AP7,79.44377267230955
MIR194-1,79.44377267230955
NPL,79.44377267230955
AL136372.1,79.41354292623942
ZC3H11B,79.41354292623942
SNORA36B,79.41354292623942
AL445466.1,79.41354292623942
RGS7,79.41354292623942
TMEM78,79.41354292623942
MIR3121,79.41354292623942
VDAC1P4,79.41354292623942
RPSAP16,79.41354292623942
TDRD5,79.41354292623942
AL160286.2,79.41354292623942
RNU5F-2P,79.41354292623942
NPHS2,79.41354292623942
AL117350.1,79.41354292623942
AXDND1,79.41354292623942
AL512326.5,79.41354292623942
ABL2,79.41354292623942
TOR3A,79.41354292623942
RNU6-180P,79.41354292623942
RPS29P5,79.41354292623942
RAB4A,79.41354292623942
MIR664A,79.41354292623942
AL390856.1,79.41354292623942
AL356364.1,79.41354292623942
HMGN1P4,79.41354292623942
RNU7-13P,79.41354292623942
LINC01682,79.41354292623942
CCSAP,79.41354292623942
TSEN15,79.41354292623942
COLGALT2,79.41354292623942
RGL1,79.41354292623942
GPATCH2,79.41354292623942
AL162595.1,79.41354292623942
FMN2,79.3833131801693
COX5BP8,79.3833131801693
EIF4A1P11,79.3833131801693
AL512326.1,79.3833131801693
AL512326.2,79.3833131801693
RN7SL654P,79.3833131801693
AL359918.2,79.3833131801693
FAM20B,79.3833131801693
AL445228.1,79.3833131801693
HMGB1P26,79.3833131801693
AL359265.1,79.3833131801693
AL591043.2,79.3833131801693
